"","Voyage","Deployment","Acc","Acc_ed","Sample_Type","Taxa","CAAB","Taxa_ed","CAAB_ed","weight_g","Count","Comments","Storage_temp","Preservative","Container name","CAAB_updated","Taxa_updated","Message ID","Latitude","Longitude","Site","Net_Name","Depth_Stratum","daylight","date_start","lat_decdeg_start","DateR_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","Site_stop","date_stop","DateR_stop","towtime","Speed_mpm","distance_m_byspeed","VolumeFiltered_m3_speed"
"11","in2020_v08",41,15,"15","S","Benthalbella elongata",37131750,"Benthalbella macropinna",37131751,22,1,NA,"-20 degC",NA,"Plastic Bag",37131751,"Benthalbella macropinna",694,"57  58.61 S","141  19.16 E","58S","RMT16","Lmeso","Day",2021-01-04 02:39:00,-56.0231666666667,"4/01/2021 2:39",-140.680666666667,-56.046,-140.7225,"58S",2021-01-04 04:39:00,"4/01/2021 4:39",120,30.867284,3704.07408,59265.18528
"12","in2020_v08",52,13,"13","S","Benthalbella elongata",37131750,"Benthalbella macropinna",37131751,7,1,NA,"-20 degC",NA,"Plastic Bag",37131751,"Benthalbella macropinna",816,"57  52.98 S","141  35.01 E","55S","RMT16","Targeted_850to750","Day",2021-01-09 01:36:00,-56.117,"9/01/2021 1:36",-140.4165,-56.117,-140.437333333333,"58S",2021-01-09 02:16:00,"9/01/2021 2:16",40,30.867284,1234.69136,19755.06176
"13","in2020_v08",30,11,"11","S","Paralepididae - undifferentiated",37126503,"Benthalbella macropinna",37131751,3,2,NA,"-20 degC",NA,"Plastic Bag",37131751,"Benthalbella macropinna",572,"55  50.16 S","138  45.8 E","55S","RMT16","Lmeso","Day",2020-12-27 02:28:00,-54.164,"27/12/2020 2:28",-137.236666666667,-54.1838333333333,-137.337,"55S",2020-12-27 03:08:00,"27/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"14","in2020_v08",47,4,"4","S","Benthalbella elongata",37131750,"Benthalbella macropinna",37131751,4,1,NA,"-20 degC",NA,"Plastic Bag",37131751,"Benthalbella macropinna",759,"57  55.76 S","141  27.68 E","58S","RMT16","Lmeso","Day",2021-01-07 04:55:00,-56.0706666666667,"7/01/2021 4:55",-140.538666666667,-56.0785,-140.589,"58S",2021-01-07 06:55:00,"7/01/2021 6:55",120,30.867284,3704.07408,59265.18528
"15","in2020_v08",13,35,"35","S","Astronesthes kreffti",37108019,"Borostomias spp.",37108902,3.5,2,NA,"-20 degC",NA,"Plastic Bag",37108902,"Borostomias spp.",258,"47  05.41 S","141  21.78 E","SOTS","RMT16","Lmeso","Night",2020-12-15 11:46:00,-46.9098333333333,"15/12/2020 11:46",-140.637,-46.8858333333333,-140.659833333333,"SOTS",2020-12-15 13:46:00,"15/12/2020 13:46",120,30.867284,3704.07408,59265.18528
"16","in2020_v08",29,19,"19","S","Astronesthes boulengeri",37108003,"Borostomias spp.",37108902,3,1,NA,"-20 degC",NA,"Plastic Bag",37108902,"Borostomias spp.",523,"55  47.02 S","138  34.82 E","55S","RMT16","Lmeso","Night",2020-12-26 15:44:00,-54.2163333333333,"26/12/2020 15:44",-137.419666666667,-54.2151666666667,-137.103166666667,"55S",2020-12-26 17:44:00,"26/12/2020 17:44",120,30.867284,3704.07408,59265.18528
"17","in2020_v08",7,10,"10","S","Astronesthes boulengeri",37108003,"Borostomias spp.",37108902,2,3,NA,"-20 degC",NA,"Plastic Bag",37108902,"Borostomias spp.",248,"47  05.8 S","141  23.16 E","SOTS","RMT16","Lmeso","Day",2020-12-12 04:25:00,-46.9033333333333,"12/12/2020 4:25",-140.614,-46.9305,-140.576333333333,"SOTS",2020-12-12 06:25:00,"12/12/2020 6:25",120,30.867284,3704.07408,59265.18528
"18","in2020_v08",46,59,"59","SS","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,NA,3,"subsample #3. 3 into formalin","Ambient","Formaldehyde",NA,37106902,"Cyclothone spp.",733,"57  55.78 S","141  30.23 E","58S","RMT16","Lmeso","Night",2021-01-06 15:11:00,-56.0703333333333,"6/01/2021 15:11",-140.496166666667,-56.0768333333333,-140.557666666667,"58S",2021-01-06 17:11:00,"6/01/2021 17:11",120,30.867284,3704.07408,59265.18528
"19","in2020_v08",14,27,"27","S","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,50,250,"retained 20g","-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"20","in2020_v08",6,27,"27","SS","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,NA,2,"subsample, gut dissection 6 fish; remaining 2 subsample; frozen with the sample","-20 degC",NA,NA,37106902,"Cyclothone spp.",246,"47  06.84 S","141  22.77 E","SOTS","RMT16","Lmeso","Night",2020-12-11 11:49:00,-46.886,"11/12/2020 11:49",-140.6205,-46.8473333333333,-140.678333333333,"SOTS",2020-12-11 13:49:00,"11/12/2020 13:49",120,30.867284,3704.07408,59265.18528
"21","in2020_v08",15,20,"20","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,1,20,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",262,"47  04.96 S","141  21.45 E","SOTS","RMT16","Epi","Day",2020-12-17 21:19:00,-46.9173333333333,"17/12/2020 21:19",-140.6425,-46.929,-140.651666666667,"SOTS",2020-12-17 21:59:00,"17/12/2020 21:59",40,30.867284,1234.69136,19755.06176
"22","in2020_v08",22,20,"20","S","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,82,136,"counted and measured 75 = 45 g","-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",308,"47  04.39 S","141  20.91 E","SOTS","RMT16","Lmeso","Day",2020-12-20 02:51:00,-46.9268333333333,"20/12/2020 2:51",-140.6515,-46.9575,-140.681333333333,"SOTS",2020-12-20 04:51:00,"20/12/2020 4:51",120,30.867284,3704.07408,59265.18528
"23","in2020_v08",23,17,"17","S","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,1.5,17,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",423,"55  54.19 S","139  08.73 E","55S","RMT16","Epi","Day",2020-12-24 02:49:00,-54.0968333333333,"24/12/2020 2:49",-138.8545,-54.0986666666667,-138.881,"55S",2020-12-24 03:29:00,"24/12/2020 3:29",40,30.867284,1234.69136,19755.06176
"24","in2020_v08",36,16,"16","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,5,23,NA,"-20 degC",NA,NA,37106902,"Cyclothone spp.",708,"55  53.2 S","138  26.18 E","55S","RMT16","Lmeso","Day",2020-12-31 01:36:00,-54.1133333333333,"31/12/2020 1:36",-137.563666666667,-54.1341666666667,-137.612833333333,"55S",2020-12-31 03:36:00,"31/12/2020 3:36",120,30.867284,3704.07408,59265.18528
"25","in2020_v08",52,16,"16","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,0.5,2,"< 1 g wet weight",NA,"discarded onboard",NA,37106902,"Cyclothone spp.",816,"57  52.98 S","141  35.01 E","55S","RMT16","Targeted_850to750","Day",2021-01-09 01:36:00,-56.117,"9/01/2021 1:36",-140.4165,-56.117,-140.437333333333,"58S",2021-01-09 02:16:00,"9/01/2021 2:16",40,30.867284,1234.69136,19755.06176
"26","in2020_v08",28,11,"11","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,12,44,NA,"-20 degC",NA,NA,37106902,"Cyclothone spp.",470,"55  49.52 S","138  55.39 E","55S","RMT16","Lmeso","Day",2020-12-26 05:28:00,-54.1746666666667,"26/12/2020 5:28",-137.076833333333,-54.211,-137.1255,"55S",2020-12-26 07:28:00,"26/12/2020 7:28",120,30.867284,3704.07408,59265.18528
"27","in2020_v08",29,11,"11","S","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,18,44,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",523,"55  47.02 S","138  34.82 E","55S","RMT16","Lmeso","Night",2020-12-26 15:44:00,-54.2163333333333,"26/12/2020 15:44",-137.419666666667,-54.2151666666667,-137.103166666667,"55S",2020-12-26 17:44:00,"26/12/2020 17:44",120,30.867284,3704.07408,59265.18528
"28","in2020_v08",16,10,"10","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,0.5,1,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",264,"47  05.03 S","141  22.09 E","SOTS","RMT16","Meso","Day",2020-12-18 01:07:00,-46.9161666666667,"18/12/2020 1:07",-140.631833333333,-46.9093333333333,-140.643333333333,"SOTS",2020-12-18 01:47:00,"18/12/2020 1:47",40,30.867284,1234.69136,19755.06176
"29","in2020_v08",41,8,"8","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,12,17,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",694,"57  58.61 S","141  19.16 E","58S","RMT16","Lmeso","Day",2021-01-04 02:39:00,-56.0231666666667,"4/01/2021 2:39",-140.680666666667,-56.046,-140.7225,"58S",2021-01-04 04:39:00,"4/01/2021 4:39",120,30.867284,3704.07408,59265.18528
"30","in2020_v08",7,5,"5","S","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,97,77,"77 measured with wet weight 27g. Total weight 97g","-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",248,"47  05.8 S","141  23.16 E","SOTS","RMT16","Lmeso","Day",2020-12-12 04:25:00,-46.9033333333333,"12/12/2020 4:25",-140.614,-46.9305,-140.576333333333,"SOTS",2020-12-12 06:25:00,"12/12/2020 6:25",120,30.867284,3704.07408,59265.18528
"31","in2020_v08",1,4,"4","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,0.5,35,NA,"-20 degC",NA,NA,37106902,"Cyclothone spp.",240,"44  45.13 S","145  22.94 E","Trawl","RMT16","Integrated","Day",2020-12-05 09:16:00,-43.2478333333333,"5/12/2020 9:16",-144.617666666667,-43.2748333333333,-144.642833333333,"Trawl",2020-12-05 10:36:00,"5/12/2020 10:36",80,30.867284,2469.38272,39510.12352
"32","in2020_v08",35,4,"4","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,2.5,12,NA,"-20 degC",NA,NA,37106902,"Cyclothone spp.",688,"55  49.77 S","138  26.23 E","55S","RMT16","Lmeso","Night",2020-12-30 15:43:00,-54.1705,"30/12/2020 15:43",-137.562833333333,-54.1906666666667,-137.6135,"55S",2020-12-30 17:43:00,"30/12/2020 17:43",120,30.867284,3704.07408,59265.18528
"33","in2020_v08",42,3,"3","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,5,4,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",674,"57  58.83 S","141  22.64 E","58S","RMT16","Lmeso","Night",2021-01-04 12:38:00,-56.0195,"4/01/2021 12:38",-140.622666666667,-56.0561666666667,-140.745,"58S",2021-01-04 14:38:00,"4/01/2021 14:38",120,30.867284,3704.07408,59265.18528
"34","in2020_v08",46,3,"3","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,10,16,"13 frozen","-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",733,"57  55.78 S","141  30.23 E","58S","RMT16","Lmeso","Night",2021-01-06 15:11:00,-56.0703333333333,"6/01/2021 15:11",-140.496166666667,-56.0768333333333,-140.557666666667,"58S",2021-01-06 17:11:00,"6/01/2021 17:11",120,30.867284,3704.07408,59265.18528
"35","in2020_v08",47,3,"3","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,0.5,3,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",759,"57  55.76 S","141  27.68 E","58S","RMT16","Lmeso","Day",2021-01-07 04:55:00,-56.0706666666667,"7/01/2021 4:55",-140.538666666667,-56.0785,-140.589,"58S",2021-01-07 06:55:00,"7/01/2021 6:55",120,30.867284,3704.07408,59265.18528
"36","in2020_v08",2,2,"2","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,0.5,3,NA,"-20 degC",NA,NA,37106902,"Cyclothone spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","in2020_v08",6,2,"2","S","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,4.5,29,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",246,"47  06.84 S","141  22.77 E","SOTS","RMT16","Lmeso","Night",2020-12-11 11:49:00,-46.886,"11/12/2020 11:49",-140.6205,-46.8473333333333,-140.678333333333,"SOTS",2020-12-11 13:49:00,"11/12/2020 13:49",120,30.867284,3704.07408,59265.18528
"38","in2020_v08",21,2,"2","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,3.5,19,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","in2020_v08",48,2,"2","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,1,2,NA,NA,"discarded onboard",NA,37106902,"Cyclothone spp.",747,"57  55.77 S","141  33.69 E","58S","RMT16",NA,NA,2021-01-07 09:56:00,-56.0705,"7/01/2021 9:56",-140.4385,-56.0686666666667,-140.453666666667,"58S",2021-01-07 10:24:00,"7/01/2021 10:24",28,30.867284,864.283952,13828.543232
"40","in2020_v08",48,2,"2","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,1,2,NA,NA,"discarded onboard",NA,37106902,"Cyclothone spp.",757,"57  55.79 S","141  33.46 E","58S","RMT16","targeted_60m","Day",2021-01-07 10:04:00,-56.0701666666667,"7/01/2021 10:04",-140.442333333333,-56.0686666666667,-140.453666666667,"58S",2021-01-07 10:24:00,"7/01/2021 10:24",20,30.867284,617.34568,9877.53088
"41","in2020_v08",8,1,"1","S","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,1,23,NA,"-20 degC",NA,NA,37106902,"Cyclothone spp.",250,"47  04.74 S","141  21.9 E","SOTS","RMT16","Epi","Day",2020-12-13 23:31:00,-46.921,"13/12/2020 23:31",-140.635,-46.9336666666667,-140.636833333333,"SOTS",2020-12-14 00:11:00,"14/12/2020 0:11",40,30.867284,1234.69136,19755.06176
"42","in2020_v08",13,1,"1","S","Cyclothone spp.",37106902,"Cyclothone spp.",37106902,10,40,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",258,"47  05.41 S","141  21.78 E","SOTS","RMT16","Lmeso","Night",2020-12-15 11:46:00,-46.9098333333333,"15/12/2020 11:46",-140.637,-46.8858333333333,-140.659833333333,"SOTS",2020-12-15 13:46:00,"15/12/2020 13:46",120,30.867284,3704.07408,59265.18528
"43","in2020_v08",26,1,"1","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,7,8,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","in2020_v08",30,1,"1","S","Cyclothone spp.",37106501,"Cyclothone spp.",37106902,4,14,NA,"-20 degC",NA,"Plastic Bag",37106902,"Cyclothone spp.",572,"55  50.16 S","138  45.8 E","55S","RMT16","Lmeso","Day",2020-12-27 02:28:00,-54.164,"27/12/2020 2:28",-137.236666666667,-54.1838333333333,-137.337,"55S",2020-12-27 03:08:00,"27/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"45","in2020_v08",12,1,"1","S","Electrona spp.",37122901,"Diaphus hudsoni",37122061,8,3,NA,"-20 degC",NA,"Plastic bucket",37122061,"Diaphus hudsoni",256,"47  04.77 S","141  21.82 E","SOTS","RMT16","Meso","Night",2020-12-14 14:23:00,-46.9205,"14/12/2020 14:23",-140.636333333333,-46.9323333333333,-140.644166666667,"SOTS",2020-12-14 15:03:00,"14/12/2020 15:03",40,30.867284,1234.69136,19755.06176
"46","in2020_v08",5,1,"1","S","Diplophos rebainsi",37106010,"Diplophos rebainsi",37106010,20,2,NA,"-20 degC",NA,"Plastic Bag",37106010,"Diplophos rebainsi",244,"47  06.59 S","141  23.18 E","SOTS","RMT16","Epi","Night",2020-12-10 16:55:00,-46.8901666666667,"10/12/2020 16:55",-140.613666666667,-46.8816666666667,-140.629833333333,"SOTS",2020-12-10 17:35:00,"10/12/2020 17:35",40,30.867284,1234.69136,19755.06176
"47","in2020_v08",26,5,"5","S","Electrona spp.",37122901,"Electrona antarctica",37122750,3,1,NA,"-20 degC",NA,"Plastic bucket",37122750,"Electrona antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","in2020_v08",7,29,"29","RNST","Electrona carlsbergi",37122104,"Electrona paucirastra",37122075,1,5,NA,"-20 degC",NA,"Plastic Bag",37122075,"Electrona paucirastra",248,"47  05.8 S","141  23.16 E","SOTS","RMT16","Lmeso","Day",2020-12-12 04:25:00,-46.9033333333333,"12/12/2020 4:25",-140.614,-46.9305,-140.576333333333,"SOTS",2020-12-12 06:25:00,"12/12/2020 6:25",120,30.867284,3704.07408,59265.18528
"49","in2020_v08",7,29,"29(29)","S","Electrona carlsbergi",37122104,"Electrona paucirastra",37122075,0.5,1,NA,"-20 degC",NA,"Plastic Bag",37122075,"Electrona paucirastra",248,"47  05.8 S","141  23.16 E","SOTS","RMT16","Lmeso","Day",2020-12-12 04:25:00,-46.9033333333333,"12/12/2020 4:25",-140.614,-46.9305,-140.576333333333,"SOTS",2020-12-12 06:25:00,"12/12/2020 6:25",120,30.867284,3704.07408,59265.18528
"50","in2020_v08",5,4,"4","S","Electrona carlsbergi",37122104,"Electrona paucirastra",37122075,3,2,NA,"-20 degC",NA,"Plastic Bag",37122075,"Electrona paucirastra",244,"47  06.59 S","141  23.18 E","SOTS","RMT16","Epi","Night",2020-12-10 16:55:00,-46.8901666666667,"10/12/2020 16:55",-140.613666666667,-46.8816666666667,-140.629833333333,"SOTS",2020-12-10 17:35:00,"10/12/2020 17:35",40,30.867284,1234.69136,19755.06176
"51","in2020_v08",14,40,"40","S","Electrona carlsbergi",37122104,"Electrona subaspera",37122014,2,4,NA,"-20 degC",NA,"Plastic Bag",37122014,"Electrona subaspera",260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"52","in2020_v08",6,1,"1","S","Evermannella balbo",37130002,"Evermannella balbo",37130002,4.5,1,NA,"-20 degC",NA,"Plastic Bag",37130002,"Evermannella balbo",246,"47  06.84 S","141  22.77 E","SOTS","RMT16","Lmeso","Night",2020-12-11 11:49:00,-46.886,"11/12/2020 11:49",-140.6205,-46.8473333333333,-140.678333333333,"SOTS",2020-12-11 13:49:00,"11/12/2020 13:49",120,30.867284,3704.07408,59265.18528
"53","in2020_v08",40,31,"31","S","Gymnoscopelus spp.",37122909,"Gymnoscopelus braueri",37122751,10,1,NA,"-20 degC",NA,NA,37122751,"Gymnoscopelus braueri",699,"58  00.65 S","141  17.25 E","58S","RMT16","Meso","Night",2021-01-02 14:15:00,-57.9891666666667,"2/01/2021 14:15",-140.7125,-57.9815,-140.734333333333,"58S",2021-01-02 14:55:00,"2/01/2021 14:55",40,30.867284,1234.69136,19755.06176
"54","in2020_v08",37,3,"3","S","Gymnoscopelus bolini",37122113,"Gymnoscopelus braueri",37122751,18,8,NA,"-20 degC",NA,NA,37122751,"Gymnoscopelus braueri",705,"58  00.85 S","141  14.26 E","58S","RMT16","Epi","Night",2021-01-01 14:08:00,-57.9858333333333,"1/01/2021 14:08",-140.762333333333,-57.9943333333333,-140.781166666667,"58S",2021-01-01 14:48:00,"1/01/2021 14:48",40,30.867284,1234.69136,19755.06176
"55","in2020_v08",18,38,"38","S","Myctophidae - undifferentiated",37122000,"Gymnoscopelus microlampas",37122106,3,1,NA,"-20 degC",NA,"Plastic Bag",37122106,"Gymnoscopelus microlampas",287,"47  05.03 S","141  20.77 E","SOTS","RMT16","Meso","Night",2020-12-19 14:28:00,-46.9161666666667,"19/12/2020 14:28",-140.653833333333,-46.9168333333333,-140.610666666667,"SOTS",2020-12-19 15:08:00,"19/12/2020 15:08",40,30.867284,1234.69136,19755.06176
"56","in2020_v08",35,7,"7","S","Lampanyctus macdonaldi",37122063,"Gymnoscopelus spp.",37122909,26,2,NA,"-20 degC",NA,NA,37122909,"Gymnoscopelus spp.",688,"55  49.77 S","138  26.23 E","55S","RMT16","Lmeso","Night",2020-12-30 15:43:00,-54.1705,"30/12/2020 15:43",-137.562833333333,-54.1906666666667,-137.6135,"55S",2020-12-30 17:43:00,"30/12/2020 17:43",120,30.867284,3704.07408,59265.18528
"57","in2020_v08",14,43,"43","S","Stomias gracilis",37112801,NA,NA,0.5,1,"< 1 g wet weight","-20 degC",NA,"Plastic Bag",37112801,"Stomias gracilis",260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"58","in2020_v08",11,24,"24","S","Lampanyctus spp.",37122503,"Lampanyctus australis",37122019,1,1,NA,"-20 degC",NA,"Plastic Bag",37122019,"Lampanyctus australis",254,"47  04.77 S","141  22.33 E","SOTS","RMT16","Epi","Night",2020-12-14 11:23:00,-46.9205,"14/12/2020 11:23",-140.627833333333,-46.9333333333333,-140.636166666667,"SOTS",2020-12-14 12:03:00,"14/12/2020 12:03",40,30.867284,1234.69136,19755.06176
"59","in2020_v08",1,2,"2","S","Lampanyctus australis",37122019,"Lampanyctus australis",37122019,100,18,NA,"-20 degC",NA,NA,37122019,"Lampanyctus australis",240,"44  45.13 S","145  22.94 E","Trawl","RMT16","Integrated","Day",2020-12-05 09:16:00,-43.2478333333333,"5/12/2020 9:16",-144.617666666667,-43.2748333333333,-144.642833333333,"Trawl",2020-12-05 10:36:00,"5/12/2020 10:36",80,30.867284,2469.38272,39510.12352
