,Acoustic_Category,Taxa_Groups,ACat,CAAB_updated,bladder_research,source,link,Taxa_updated,,,,
50,Crustaceans,Crustaceans,Prawn,28735028,,,,Notostomus auriculatus,,,,
51,Crustaceans,Crustaceans,Amphipods,28405145,,,,Tryphosella macropareia,,,,
54,Crustaceans,Crustaceans,Amphipods,28406004,,,,Cyphocaris richardi,,,,
71,Crustaceans,Crustaceans,Krill,28702007,,,,Euphausia similis similis,,,,
81,Crustaceans,Crustaceans,Gnathaphausia,28081901,,,,Gnathophausia spp.,,,,
95,Crustaceans,Crustaceans,Krill,28702043,,,,Euphausia triacantha,,,,
99,Crustaceans,Crustaceans,Amphipods,28427001,,,,Eurythenes gryllus,,,,
100,Crustaceans,Crustaceans,Amphipods,28561901,,,,Scina spp.,,,,
105,Crustaceans,Crustaceans,Prawn,28713903,,,,Gennadas spp.,,,,
106,Crustaceans,Crustaceans,Prawn,28745901,,,,Pasiphaea spp.,,,,
110,Crustaceans,Crustaceans,Amphipods,28490011,,,,Parandania boecki,,,,
111,Crustaceans,Crustaceans,Copepod,NA,,,,Eusirella spp,,,,
116,Crustaceans,Crustaceans,Prawn,28713007,,,,Gennadas gilchristi,,,,
121,Crustaceans,Crustaceans,Amphipods,28399000,,,,Order Amphipoda - undifferentiated,,,,
125,Crustaceans,Crustaceans,Krill,28702908,,,,Thysanopoda spp.,,,,
129,Crustaceans,Crustaceans,Amphipods,28570911,,,,Hyperiidae - undifferentiated,,,,
130,Crustaceans,Crustaceans,Amphipods,28570031,,,,Pegohyperia princeps,,,,
134,Crustaceans,Crustaceans,Krill,28702052,,,,Thysanoessa macrura,,,,
138,Crustaceans,Crustaceans,Amphipods,28427901,,,,Eurythenes spp.,,,,
142,Crustaceans,Crustaceans,Amphipods,NA,,,,Hyperia medusarium,,,,
10,F,F,F,NA,F,,,Larval Fish,,,,
75,F,F,F,NA,F,,,Fish,,,,
56,F,F,F,37097002,FnSB,Coad - marine fishes of Canada,https://www.degruyter.com/document/doi/10.3138/9781442667297-039/pdf,Microstoma australis,,,,
136,F,F,F,37097004,FnSB,,,Nansenia ardesiaca,,,,
52,F,F,F,37098903,FnSB,adaptions to deepsea,,Bathylagus spp.,,,,
44,F,F,F,37112000,FnSB,buoyancy,,Stomiidae - undifferentiated,,,,
43,F,F,F,37112801,FnSB,buoyancy,,Stomias gracilis,,,,
102,F,F,F,37112902,FnSB,buoyancy,,Stomias spp.,,,,
76,F,F,F,37115001,FnSB,,FishBase -family,Persparsia kopua,,,,
122,F,F,F,37126000,FnSB,buoyancy,,Paralepididae - undifferentiated,,,,
109,F,F,F,37126750,FnSB,,,Notolepis coatsi,,,,
101,F,F,F,37126907,FnSB,,,Notolepis spp.,,,,
15,F,F,F,37130002,FnSB,,,Evermannella balbo,,,,
112,F,F,F,37131751,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf - family,Benthalbella macropinna,,,,
57,F,F,F,37216008,FnSB,,Priede - family,Oneirodes notius,,,,
41,F,F,F,37224015,FnSB,,,Melanonus gracilis,,,,
58,F,F,F,37251005,FnSB,family,,Scopelogadus beanii,,,,
123,F,F,F,37271000,FnSB,FishBase,,Trachipteridae - undifferentiated,,,,
69,F,F,F,37307000,FnSB,Gerrigner et al,,Liparidae - undifferentiated,,,,
42,F,F,F,37076001,FSB,,https://www.encyclopedia.com/environment/encyclopedias-almanacs-transcripts-and-maps/anguilliformes-eels-and-morays,Nemichthys curvirostris,,,,
9,F,F,F,37106010,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Diplophos rebainsi,,,,
45,F,F,F,37106911,FSB,,csiro,Woodsia spp.,,,,
73,F,F,F,37106913,FSB,,csiro,Woodsia meyerwardenii,Woodsia meyerwaardeni,,,
19,F,F,F,37251902,FSB,family,,Poromitra spp.,,,,
132,F,F,F,37439005,FSB,Mcclatchie - family,,Paradiplospinus gracilis,,,,
21,FGB,FGB,FGB,37098000,FnSB,Coad - marine fishes of Canada,https://www.degruyter.com/document/doi/10.3138/9781442667297-039/pdf,Bathylagidae - undifferentiated,,,,
61,FGB,FGB,FGB,37099003,,,,Winteria telescopa,,,,
16,FGB,FGB,FGB,37106902,,,,Cyclothone spp.,,,,
20,FGB,FGB,FGB,37107005,,,,Argyropelecus gigas,Microstomatidae,,,
3,FGB,FGB,FGB,37107006,,,,Argyropelecus hemigymnus,,,,
22,FGB,FGB,FGB,37108902,,,,Borostomias spp.,,,,
77,FGB,FGB,FGB,37110003,,,,Malacosteus australis,,,,
59,FGB,FGB,FGB,37122014,,,,Electrona subaspera,,,,
12,FGB,FGB,FGB,37122019,,,,Lampanyctus australis,,,,
46,FGB,FGB,FGB,37122061,,,,Diaphus hudsoni,,,,
11,FGB,FGB,FGB,37122075,,,,Electrona paucirastra,,,,
23,FGB,FGB,FGB,37122096,,,,Nannobrachium achirus,,,,
79,FGB,FGB,FGB,37122102,,,,Protomyctophum parallelum,,,,
80,FGB,FGB,FGB,37122103,,,,Symbolophorus boops,,,,
74,FGB,FGB,FGB,37122106,,,,Gymnoscopelus microlampas,,,,
60,FGB,FGB,FGB,37122114,,,,Gymnoscopelus fraseri,,,,
137,FGB,FGB,FGB,37122503,,,,Lampanyctus spp.,,,,
115,FGB,FGB,FGB,37122521,,,,Protomyctophum spp.,,,,
93,FGB,FGB,FGB,37122750,,,,Electrona antarctica,,,,
97,FGB,FGB,FGB,37122751,,,,Gymnoscopelus braueri,,,,
124,FGB,FGB,FGB,37122753,,,,Gymnoscopelus opisthopterus,,,,
94,FGB,FGB,FGB,37122754,,,,Krefftichthys anderssoni,,,,
53,FGB,FGB,FGB,37122755,,,,Protomyctophum bolini,,,,
113,FGB,FGB,FGB,37122901,,,,Electrona spp.,,,,
70,FGB,FGB,FGB,37122909,,,,Gymnoscopelus spp.,,,,
114,FGB,FGB,FGB,37122920,,,,Nannobrachium spp.,,,,
78,FGB,FGB,FGB,NA,,,,Myctophid larvae,,,,
131,FnGB,FnGB,FnGB,37213901,,,,Melanocetus spp.,,,,
4,G_nGB,Gelatinous_Active,Medusa,11082902,,,,Solmissus spp.,,,,
27,G_nGB,Gelatinous_Active,Medusa,11123002,,,,Atolla wyvillei,,,,
28,G_nGB,Gelatinous_Active,Medusa,11083001,,,,Pegantha rubiginosa,,,,
29,G_nGB,Gelatinous_Active,Medusa,11089000,,,,Rhopalonematidae - undifferentiated,,,,
34,G_nGB,Gelatinous_Active,Siphonophore,11093903,,,,Diphyes spp.,,,,
36,G_nGB,Gelatinous_Active,Medusa,11082003,,,,Solmissus marshalli,,,,
38,G_nGB,Gelatinous_Active,Siphonophore,11094901,,,,Hippopodius spp.,,,,
49,G_nGB,Gelatinous_Active,Medusa,11089906,,,,Rhopalonema spp.,,,,
62,G_nGB,Gelatinous_Active,Medusa,NA,,,,Hydromedusa,,,,
64,G_nGB,Gelatinous_Active,Ctenophore,12090901,,,,Beroe spp.,,,,
65,G_nGB,Gelatinous_Active,Ctenophore,12021000,,,,Ctenoplanidae - undifferentiated,,,,
66,G_nGB,Gelatinous_Active,Medusa,11089907,,,,Sminthea spp.,,,,
67,G_nGB,Gelatinous_Active,Siphonophore,11096901,,,,Sphaeronectes spp.,,,,
68,G_nGB,Gelatinous_Active,Siphonophore,11090000,,,,Order Siphonophora - undifferentiated,,,,
72,G_nGB,Gelatinous_Active,Siphonophore,11094003,,,,Vogtia spinosa,,,,
82,G_nGB,Gelatinous_Active,Medusa,11128001,,,,Periphylla periphylla,,,,
86,G_nGB,Gelatinous_Active,Ctenophore,1.20E+07,,,,Phylum Ctenophora - undifferentiated,,,,
96,G_nGB,Gelatinous_Active,Ctenophore,12018901,,,,Euplokamis spp.,,,,
103,G_nGB,Gelatinous_Active,Medusa,11086002,,,,Halicreas minimum,,,,
119,G_nGB,Gelatinous_Active,Siphonophore,11095902,,,,Rosacea spp.,,,,
126,G_nGB,Gelatinous_Active,Medusa,11082000,,,,Cuninidae - undifferentiated,,,,
127,G_nGB,Gelatinous_Active,Medusa,11086000,,,,Halicreatidae - undifferentiated,,,,
128,G_nGB,Gelatinous_Active,Medusa,11083901,,,,Pegantha spp.,,,,
135,G_nGB,Gelatinous_Active,Medusa,11039901,,,,Calycopsis spp.,,,,
37,other,other,Pteropod,24406901,,,,Clio spp.,,,,
83,other,other,Pteropod,24406004,,,,Clio recurva,,,,
84,other,other,Pteropod,24407002,,,,Styliola subula,,,,
91,other,other,Gymnosome,24410000,,,,Order Gymnosomata - undifferentiated,,,,
98,other,other,Pteropod,24408901,,,,Cuvierina spp.,,,,
104,other,other,Other,NA,,,,Pelagic worm,,,,
108,other,other,worms,14125901,,,,Pelagonemertes spp.,,,,
117,other,other,Pteropod,24400000,,,,Order Thecosomata - undifferentiated,,,,
118,other,other,worms,1.40E+07,,,,Phylum Nemertea - undifferentiated,,,,
120,other,other,worms,2.20E+07,,,,Class Polychaeta - undifferentiated,,,,
133,other,other,worms,22068901,,,,Tomopteris spp.,,,,
141,other,other,Gymnosome,24413000,,,,Notobranchaeidae - undifferentiated,,,,
143,other,other,Other,NA,,,,eggs,,,,
107,G_GB,Siph_physonect,Siph_physonect,11100009,,,,Marrus antarcticus,,,,
5,G_nGB,Tunicates,Tunicates,35101001,,,,Pyrosoma atlanticum,,,,
6,G_nGB,Tunicates,Tunicates,35103016,,,,Soestia zonaria,,,,
14,G_nGB,Tunicates,Tunicates,35103002,,,,Cyclosalpa bakeri,,,,
35,G_nGB,Tunicates,Tunicates,35103908,,,,Salpa spp.,,,,
40,G_nGB,Tunicates,Tunicates,35103000,,,,Salpidae - undifferentiated,,,,
85,G_nGB,Tunicates,Tunicates,35103911,,,,Thetys spp.,,,,
87,G_nGB,Tunicates,Tunicates,35103014,,,,Salpa fusiformis,,,,
88,G_nGB,Tunicates,Tunicates,NA,,,,Salpa thompsoni - aggregate,,,,
89,G_nGB,Tunicates,Tunicates,NA,,,,Salpa thompsoni - solitary,,,,
90,G_nGB,Tunicates,Tunicates,NA,,,,Salpa thompsoni - solitary juv,,,,
92,G_nGB,Tunicates,Tunicates,35103012,,,,Ritteriella amboinensis,,,,
,,,,,FnSB,,,Bathysaurus,,,,
,,,,,FnSB,,,"Helicolenus,",,,,
,,,,,FnSB,,,Lophius,,,,
,,,,,FnSB,,,Reinhardtius,,,,
,,,,,FnSB,,,Scomber scombrus,,,,
,,,,,FnSB,buoyancy,,Gonostoma elongatum,,,,
,,,,,FnSB,buoyancy,,Stomiatoidea,,,,
,,,,,FnSB,buoyancy,,Xenodermichthys copei,,,,
,,,,,FnSB,buoyancy,,Gonostoma elongatum,,,,
,,,,,FSB,buoyancy,,Gonostoma denudatum,,,,
,,,,,FnSB,buoyancy,,Chauliodus sloanei,,,,
,,,,,FnSB,buoyancy,,,,,,
,,,,,FnSB,buoyancy,,Ctenolabrus rupestris,,,,
,,,,,FSB,buoyancy,,Labrus bergyltaf,,,,
,,,,,FnSB,buoyancy,,"Melanostomiatidae,",,,,
,,,,,FnSB,buoyancy,,Stomiatidae,,,,
,,,,,FnSB,buoyancy,,Chauliodontidae,,,,
,,,,,FnSB,buoyancy,,Malacosteidae,,,,
,,,,,FnSB,buoyancy,,Alepocephalidae,,,,
,,,,,FnSB,buoyancy,,Bathylogidae,,,,
,,,,,FnSB,buoyancy,,stomiatoids,,,,
,,,,,FnSB,buoyancy,,clupeoids,,,,
,,,,,FnSB,buoyancy,,salmonoids,,,,
,,,,,FnSB,buoyancy,,Idiacanthidae,,,,
,,,,,,,,Alepisauroidea,,,,
,,,,,,,,"Giganturoidea, Lyomeri, Cetunculi and",,,,
,,,,,,,,Miripinnati,,,,
,,,,,FnSB,https://docs.niwa.co.nz/library/public/NZAEBR-208.pdf,,Gonorynchus forsteri,,,,
,,,,,FnSB,,https://www.gutenberg.org/files/51702/51702-h/51702-h.htm,Gonorhynchidæ,,,,
,,,,,FnSB,,,NEMATOGNATHI,catfish,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Melanostomiatidae,vertical migrators,,,Melanostomiidae
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Malacosteidae,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Omosudidae,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Evermannellidae,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Scopelarchidae,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Stomiatidae,vertical migrators,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Chauliodontidae,vertical migrators,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Alepisauridae,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Anotopteridae,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Paralepididae,,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Gonostomatidae,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Argentinidae,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Sternoptychidae,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Myctophidae,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Melamphaidae,vertical migrators,,Melamphaeidae,Melamphaidae
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Astronesthidae,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Trichiuridae,,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Chiasmodontidae,,,,
,,,,,FnSB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Melanonidae,,,,
,,,,,FnSB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Melanonus,spelt Melanomus,,,
,,,,,FnSB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Squalogadus,,,,
,,,,,FnSB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Scopelengys,,,,
,,,,,FSB ,,,Neoscopelidae,SB prsent in all bu Scopelengys,,,
,,,,,,,,Gempylidae,,,,
,,,,,FnSB,,Imants G. Priede,Oneirodidae,,,,
,,,,,FnSB,,Imants G. Priede,Bathylagus,,,,
,,,,,FnSB,,Imants G. Priede,Chauliodus,,,,
,,,,,FnSB,,Imants G. Priede,Eurypharynx,,,,
,,,,,FnSB,,Imants G. Priede,Gonostoma elongatum,,,,
,,,,,FnSB,,Imants G. Priede,Photostomias,,,,
,,,,,FnSB,,Imants G. Priede,Melanocoetus ,,,,
,,,,,FnSB,,Imants G. Priede,Leptostomias,,,,
,,,,,FnSB,,Imants G. Priede,Xenodermichthys,,,,
,,,,,FSB,,Imants G. Priede,Gadidae,,,,
,,,,,FSB,,Imants G. Priede,Ophidiidae,,,,
,,,,,FSB,,Imants G. Priede,Macrouridae,,,,
,,,,,FnSB,,Brian W. Coad,Microstomatidae,,,,
,,,,,FnSB,,Brian W. Coad,Gonostoma bathyphilum,,,,
,,,,,FSB,,Brian W. Coad,Argyropelecus aculeatus,,,,
,,,,,FnSB,,FishBase,Platytroctidae,,,,
