"","ID","Site","daylight","Depth_Stratum","Deployment","ACat","Taxa_Groups","Acoustic_Category","Taxa_updated","CAAB_updated","nos","weight_g","Weight_Std_gm3_gps","Abd_Std_nosm3_gps","Weight_Std_gm3_sp","Abd_Std_nosm3_sp","AvgL_mm","datetime_UTC_start","datetime_UTC_stop","lat_decdeg_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","VolumeFiltered_m3_speed","VolumeFiltered_m3_gps","Taxa_PLAOS"
"11",83,"SOTS","Night","Epi",5,"FGB","FGB","FGB","Diplophos rebainsi",37106010,2,20,0.000806400345025806,8.06400345025806e-05,0.00101239875850431,0.000101239875850431,232.5,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"FGB"
"12",84,"SOTS","Night","Epi",5,"FGB","FGB","FGB","Electrona paucirastra",37122075,2,3,0.000120960051753871,8.06400345025806e-05,0.000151859813775647,0.000101239875850431,34,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"FGB"
"13",85,"SOTS","Night","Epi",5,"FGB","FGB","FGB","Lampanyctus australis",37122019,2,11.5,0.000463680198389839,8.06400345025806e-05,0.000582129286139979,0.000101239875850431,85,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"FGB"
"14",87,"SOTS","Night","Epi",5,"FGB","FGB","FGB","Larval Fish",NA,28,1.5,6.04800258769355e-05,0.00112896048303613,7.59299068878234e-05,0.00141735826190604,26.75,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"FGB"
"15",90,"SOTS","Night","Epi",5,"Krill","Crustaceans","Crustaceans","Order Euphausiacea - undifferentiated",28700000,7,0.5,2.01600086256452e-05,0.000282240120759032,2.53099689626078e-05,0.000354339565476509,21.6666666666667,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"Krill"
"16",91,"SOTS","Night","Epi",5,"Medusa","Gelatinous_Active","G_nGB","Solmissus spp.",11082902,21,120,0.00483840207015484,0.000846720362277097,0.00607439255102587,0.00106301869642953,38.8,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"Medusa"
"17",93,"SOTS","Night","Epi",5,"Tunicates","Tunicates","G_nGB","Cyclosalpa bakeri",35103002,72,88,0.00354816151811355,0.0029030412420929,0.00445455453741897,0.00364463553061552,43.75,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"Salp"
"18",94,"SOTS","Night","Epi",5,"Tunicates","Tunicates","G_nGB","Pyrosoma atlanticum",35101001,13,5419,0.218494173484742,0.000524160224266774,0.274309443616743,0.000658059193027803,298.076923076923,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"Pyrosome"
"19",96,"SOTS","Night","Epi",5,"Tunicates","Tunicates","G_nGB","Soestia zonaria",35103016,5,18,0.000725760310523226,0.000201600086256452,0.00091115888265388,0.000253099689626078,37,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"Salp"
"20",103,"SOTS","Night","Lmeso",6,"Chaetognath","Chaetognath","G_nGB","Phylum Chaetognatha - undifferentiated",36010000,128,36,0.000365879914064345,0.00130090636111767,0.000607439255102587,0.00215978401814253,30.8666666666667,"11/12/2020 11:49","11/12/2020 13:49",-46.886,-140.6205,-46.84733333,-140.6783333,59265.18528,98392.93882,"Chaetognath"
"21",106,"SOTS","Night","Lmeso",6,"FGB","FGB","FGB","Cyclothone spp.",37106902,29,4.5,4.57349892580432e-05,0.000294736597440723,7.59299068878234e-05,0.000489326066610417,34.9310344827586,"11/12/2020 11:49","11/12/2020 13:49",-46.886,-140.6205,-46.84733333,-140.6783333,59265.18528,98392.93882,"FGB"
"22",109,"SOTS","Night","Lmeso",6,"FnGB","FnGB","FnGB","Evermannella balbo",37130002,1,4.5,4.57349892580432e-05,1.01633309462318e-05,7.59299068878234e-05,1.68733126417385e-05,124,"11/12/2020 11:49","11/12/2020 13:49",-46.886,-140.6205,-46.84733333,-140.6783333,59265.18528,98392.93882,"FnGB"
"23",117,"SOTS","Night","Lmeso",6,"Prawn","Crustaceans","Crustaceans","Acanthephyra quadrispinosa",28735007,1,0.5,5.08166547311591e-06,1.01633309462318e-05,8.43665632086926e-06,1.68733126417385e-05,35,"11/12/2020 11:49","11/12/2020 13:49",-46.886,-140.6205,-46.84733333,-140.6783333,59265.18528,98392.93882,"Prawn"
"24",119,"SOTS","Night","Lmeso",6,"Tunicates","Tunicates","G_nGB","Pyrosoma atlanticum",35101001,2,569,0.0057829353084059,2.03266618924636e-05,0.00960091489314922,3.37466252834771e-05,325,"11/12/2020 11:49","11/12/2020 13:49",-46.886,-140.6205,-46.84733333,-140.6783333,59265.18528,98392.93882,"Pyrosome"
"25",123,"SOTS","Day","Lmeso",7,"Amphipods","Crustaceans","Crustaceans","Lanceola spp.",28555901,5,2,3.00443907345278e-05,7.51109768363195e-05,3.37466252834771e-05,8.43665632086926e-05,23.6,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Crustacean"
"26",131,"SOTS","Day","Lmeso",7,"Cephalopod","Cephalopod","Cephalopod","Cranchiidae - undifferentiated",23643000,1,0.5,7.51109768363195e-06,1.50221953672639e-05,8.43665632086926e-06,1.68733126417385e-05,34.5,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Cephalopod"
"27",134,"SOTS","Day","Lmeso",7,"FGB","FGB","FGB","Argyropelecus gigas",37107005,8,2,3.00443907345278e-05,0.000120177562938111,3.37466252834771e-05,0.000134986501133908,21.5,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"FGB"
"28",137,"SOTS","Day","Lmeso",7,"FGB","FGB","FGB","Borostomias spp.",37108902,3,2,3.00443907345278e-05,4.50665861017917e-05,3.37466252834771e-05,5.06199379252156e-05,49.6666666666667,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"FGB"
"29",138,"SOTS","Day","Lmeso",7,"FGB","FGB","FGB","Cyclothone spp.",37106902,77,97,0.0014571529506246,0.00115670904327932,0.00163671132624864,0.00129924507341387,36.5844155844156,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"FGB"
"30",139,"SOTS","Day","Lmeso",7,"FGB","FGB","FGB","Electrona paucirastra",37122075,1,0.5,7.51109768363195e-06,1.50221953672639e-05,8.43665632086926e-06,1.68733126417385e-05,24.8,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"FGB"
"31",140,"SOTS","Day","Lmeso",7,"FGB","FGB","FGB","Lampanyctus australis",37122019,27,98,0.00147217514599186,0.000405599274916125,0.00165358463889038,0.00045557944132694,71.4545454545455,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"FGB"
"32",144,"SOTS","Day","Lmeso",7,"FGB","FGB","FGB","Nannobrachium achirus",37122096,3,1,1.50221953672639e-05,4.50665861017917e-05,1.68733126417385e-05,5.06199379252156e-05,56.3333333333333,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"FGB"
"33",146,"SOTS","Day","Lmeso",7,"FGB","FGB","FGB","Poromitra spp.",37251902,1,0.5,7.51109768363195e-06,1.50221953672639e-05,8.43665632086926e-06,1.68733126417385e-05,36.3333333333333,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"FGB"
"34",149,"SOTS","Day","Lmeso",7,"FnGB","FnGB","FnGB","Bathylagidae - undifferentiated",37098000,3,2,3.00443907345278e-05,4.50665861017917e-05,3.37466252834771e-05,5.06199379252156e-05,39.3333333333333,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"FnGB"
"35",155,"SOTS","Day","Lmeso",7,"Krill","Crustaceans","Crustaceans","Euphausiidae - undifferentiated",28702000,13,2,3.00443907345278e-05,0.000195288539774431,3.37466252834771e-05,0.000219353064342601,31.9230769230769,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Krill"
"36",156,"SOTS","Day","Lmeso",7,"Krill","Crustaceans","Crustaceans","Nematobrachion spp.",28702902,17,1,1.50221953672639e-05,0.000255377321243486,1.68733126417385e-05,0.000286846314909555,26.2352941176471,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Krill"
"37",157,"SOTS","Day","Lmeso",7,"Krill","Crustaceans","Crustaceans","Stylocheiron spp.",28702906,12,0.5,7.51109768363195e-06,0.000180266344407167,8.43665632086926e-06,0.000202479751700862,28.3333333333333,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Krill"
"38",158,"SOTS","Day","Lmeso",7,"Medusa","Gelatinous_Active","G_nGB","Atolla wyvillei",11123002,3,0.5,7.51109768363195e-06,4.50665861017917e-05,8.43665632086926e-06,5.06199379252156e-05,21.6666666666667,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Medusa"
"39",163,"SOTS","Day","Lmeso",7,"Medusa","Gelatinous_Active","G_nGB","Pegantha rubiginosa",11083001,2,40,0.000600887814690556,3.00443907345278e-05,0.000674932505669541,3.37466252834771e-05,74,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Medusa"
"40",164,"SOTS","Day","Lmeso",7,"Medusa","Gelatinous_Active","G_nGB","Rhopalonematidae - undifferentiated",11089000,20,172,0.00258381760316939,0.000300443907345278,0.00290220977437903,0.000337466252834771,43.45,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Medusa"
"41",165,"SOTS","Day","Lmeso",7,"Medusa","Gelatinous_Active","G_nGB","Solmissus spp.",11082902,32,300,0.00450665861017917,0.000480710251752444,0.00506199379252156,0.000539946004535633,47.40625,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Medusa"
"42",166,"SOTS","Day","Lmeso",7,"Prawn","Crustaceans","Crustaceans","Acanthephyra quadrispinosa",28735007,7,28,0.000420621470283389,0.000105155367570847,0.000472452753968679,0.00011811318849217,93.2857142857143,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Prawn"
"43",167,"SOTS","Day","Lmeso",7,"Prawn","Crustaceans","Crustaceans","Acanthephyra spp.",28735901,9,5,7.51109768363195e-05,0.000135199758305375,8.43665632086926e-05,0.000151859813775647,50.5555555555556,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Prawn"
"44",168,"SOTS","Day","Lmeso",7,"Prawn","Crustaceans","Crustaceans","Oplophorus novaezeelandiae",28734003,1,3.5,5.25776837854236e-05,1.50221953672639e-05,5.90565942460848e-05,1.68733126417385e-05,80,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Prawn"
"45",169,"SOTS","Day","Lmeso",7,"Prawn","Crustaceans","Crustaceans","Phorcosergia potens",28720020,45,19,0.000285421711978014,0.000675998791526875,0.000320592940193032,0.000759299068878234,39.7111111111111,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Prawn"
"46",171,"SOTS","Day","Lmeso",7,"Prawn","Crustaceans","Crustaceans","Sergestes spp.",28720906,19,7.5,0.000112666465254479,0.000285421711978014,0.000126549844813039,0.000320592940193032,46.5263157894737,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Prawn"
"47",172,"SOTS","Day","Lmeso",7,"Siphonophore","Gelatinous_Active","G_nGB","Diphyes spp.",11093903,20,18.5,0.000277910614294382,0.000300443907345278,0.000312156283872163,0.000337466252834771,33.15,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Siphonophore"
"48",175,"SOTS","Day","Lmeso",7,"Tunicates","Tunicates","G_nGB","Salpa spp.",35103908,40,77,0.00115670904327932,0.000600887814690556,0.00129924507341387,0.000674932505669541,30,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Salp"
"49",176,"SOTS","Day","Lmeso",7,"Tunicates","Tunicates","G_nGB","Salpa spp.",35103908,40,77,0.00115670904327932,0.000600887814690556,0.00129924507341387,0.000674932505669541,40.3589743589744,"12/12/2020 4:25","12/12/2020 6:25",-46.90333333,-140.614,-46.9305,-140.5763333,59265.18528,66568.16634,"Salp"
"50",178,"SOTS","Day","Epi",8,"Amphipods","Crustaceans","Crustaceans","Phronima spp.",28572901,2,0.5,2.20796114348727e-05,8.83184457394907e-05,2.53099689626078e-05,0.000101239875850431,22.5,"13/12/2020 23:31","14/12/2020 0:11",-46.921,-140.635,-46.93366667,-140.6368333,19755.06176,22645.32605,"Crustacean"
"51",180,"SOTS","Day","Epi",8,"Cephalopod","Cephalopod","Cephalopod","Cranchiidae - undifferentiated",23643000,1,2,8.83184457394907e-05,4.41592228697453e-05,0.000101239875850431,5.06199379252156e-05,30,"13/12/2020 23:31","14/12/2020 0:11",-46.921,-140.635,-46.93366667,-140.6368333,19755.06176,22645.32605,"Cephalopod"
"52",181,"SOTS","Day","Epi",8,"Chaetognath","Chaetognath","G_nGB","Phylum Chaetognatha - undifferentiated",36010000,154,14.5,0.000640308731611307,0.00680052032194078,0.000733989099915626,0.0077954704404832,39.8375,"13/12/2020 23:31","14/12/2020 0:11",-46.921,-140.635,-46.93366667,-140.6368333,19755.06176,22645.32605,"Chaetognath"
"53",182,"SOTS","Day","Epi",8,"FGB","FGB","FGB","Cyclothone spp.",37106902,23,1,4.41592228697453e-05,0.00101566212600414,5.06199379252156e-05,0.00116425857227996,26.1764705882353,"13/12/2020 23:31","14/12/2020 0:11",-46.921,-140.635,-46.93366667,-140.6368333,19755.06176,22645.32605,"FGB"
"54",186,"SOTS","Day","Epi",8,"Medusa","Gelatinous_Active","G_nGB","Solmissus marshalli",11082003,1,1,4.41592228697453e-05,4.41592228697453e-05,5.06199379252156e-05,5.06199379252156e-05,55,"13/12/2020 23:31","14/12/2020 0:11",-46.921,-140.635,-46.93366667,-140.6368333,19755.06176,22645.32605,"Medusa"
"55",187,"SOTS","Day","Epi",8,"Medusa","Gelatinous_Active","G_nGB","Solmissus spp.",11082902,30,21,0.000927343680264652,0.00132477668609236,0.00106301869642953,0.00151859813775647,34.9,"13/12/2020 23:31","14/12/2020 0:11",-46.921,-140.635,-46.93366667,-140.6368333,19755.06176,22645.32605,"Medusa"
"56",188,"SOTS","Day","Epi",8,"Pteropod","other","other","Clio spp.",24406901,1,0.5,2.20796114348727e-05,4.41592228697453e-05,2.53099689626078e-05,5.06199379252156e-05,35,"13/12/2020 23:31","14/12/2020 0:11",-46.921,-140.635,-46.93366667,-140.6368333,19755.06176,22645.32605,"Other"
"57",191,"SOTS","Day","Epi",8,"Tunicates","Tunicates","G_nGB","Soestia zonaria",35103016,7,5,0.000220796114348727,0.000309114560088217,0.000253099689626078,0.000354339565476509,22.8571428571429,"13/12/2020 23:31","14/12/2020 0:11",-46.921,-140.635,-46.93366667,-140.6368333,19755.06176,22645.32605,"Salp"
"58",198,"SOTS","Day","Meso",10,"Chaetognath","Chaetognath","G_nGB","Phylum Chaetognatha - undifferentiated",36010000,14,1,3.07508605457656e-05,0.000430512047640719,5.06199379252156e-05,0.000708679130953018,44.8571428571429,"14/12/2020 4:52","14/12/2020 5:32",-46.9175,-140.6346667,-46.9345,-140.6445,19755.06176,32519.41514,"Chaetognath"
"59",199,"SOTS","Day","Meso",10,"FGB","FGB","FGB","Argyropelecus hemigymnus",37107006,2,1,3.07508605457656e-05,6.15017210915313e-05,5.06199379252156e-05,0.000101239875850431,29,"14/12/2020 4:52","14/12/2020 5:32",-46.9175,-140.6346667,-46.9345,-140.6445,19755.06176,32519.41514,"FGB"
"60",205,"SOTS","Day","Meso",10,"Siphonophore","Gelatinous_Active","G_nGB","Hippopodius spp.",11094901,6,3,9.22525816372969e-05,0.000184505163274594,0.000151859813775647,0.000303719627551293,27.3333333333333,"14/12/2020 4:52","14/12/2020 5:32",-46.9175,-140.6346667,-46.9345,-140.6445,19755.06176,32519.41514,"Siphonophore"
"61",207,"SOTS","Day","Meso",10,"Tunicates","Tunicates","G_nGB","Pyrosoma atlanticum",35101001,20,3591,0.110426340219844,0.000615017210915313,0.181776197089449,0.00101239875850431,273.4,"14/12/2020 4:52","14/12/2020 5:32",-46.9175,-140.6346667,-46.9345,-140.6445,19755.06176,32519.41514,"Pyrosome"
"62",209,"SOTS","Night","Epi",11,"Amphipods","Crustaceans","Crustaceans","Lanceola spp.",28555901,2,18,0.000720680939421426,8.0075659935714e-05,0.00091115888265388,0.000101239875850431,20,"14/12/2020 11:23","14/12/2020 12:03",-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,"Crustacean"
"63",210,"SOTS","Night","Epi",11,"Amphipods","Crustaceans","Crustaceans","Phronima spp.",28572901,10,1,4.0037829967857e-05,0.00040037829967857,5.06199379252156e-05,0.000506199379252156,21.3,"14/12/2020 11:23","14/12/2020 12:03",-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,"Crustacean"
"64",219,"SOTS","Night","Epi",11,"FGB","FGB","FGB","Lampanyctus australis",37122019,9,46,0.00184174017852142,0.000360340469710713,0.00232851714455992,0.00045557944132694,69.75,"14/12/2020 11:23","14/12/2020 12:03",-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,"FGB"
"65",222,"SOTS","Night","Epi",11,"FGB","FGB","FGB","Larval Fish",NA,303,19,0.000760718769389283,0.0121314624802607,0.000961778820579096,0.0153378411913403,25.2857142857143,"14/12/2020 11:23","14/12/2020 12:03",-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,"FGB"
"66",228,"SOTS","Night","Epi",11,"Krill","Crustaceans","Crustaceans","Euphausia spp.",28702901,555,35.5,0.00142134296385892,0.0222209956321606,0.00179700779634515,0.0280940655484946,21.1333333333333,"14/12/2020 11:23","14/12/2020 12:03",-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,"Krill"
"67",232,"SOTS","Night","Epi",11,"Medusa","Gelatinous_Active","G_nGB","Solmissus spp.",11082902,216,610,0.0244230762803928,0.00864817127305711,0.0308781621343815,0.0109339065918466,32.3035714285714,"14/12/2020 11:23","14/12/2020 12:03",-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,"Medusa"
"68",233,"SOTS","Night","Epi",11,"Prawn","Crustaceans","Crustaceans","Sergestes spp.",28720906,1,1,4.0037829967857e-05,4.0037829967857e-05,5.06199379252156e-05,5.06199379252156e-05,51,"14/12/2020 11:23","14/12/2020 12:03",-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,"Prawn"
"69",240,"SOTS","Night","Epi",11,"Tunicates","Tunicates","G_nGB","Salpidae - undifferentiated",35103000,37,240,0.00960907919228567,0.00148139970881071,0.0121487851020517,0.00187293770323298,43.4242424242424,"14/12/2020 11:23","14/12/2020 12:03",-46.9205,-140.6278333,-46.93333333,-140.6361667,19755.06176,24976.37861,"Salp"
"70",242,"SOTS","Night","Meso",12,"Amphipods","Crustaceans","Crustaceans","Cystisoma spp.",28565901,3,1,4.32818695183531e-05,0.000129845608555059,5.06199379252156e-05,0.000151859813775647,30.6666666666667,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"Crustacean"
"71",243,"SOTS","Night","Meso",12,"Amphipods","Crustaceans","Crustaceans","Phronima spp.",28572901,2,0.5,2.16409347591766e-05,8.65637390367062e-05,2.53099689626078e-05,0.000101239875850431,20,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"Crustacean"
"72",246,"SOTS","Night","Meso",12,"Chaetognath","Chaetognath","G_nGB","Phylum Chaetognatha - undifferentiated",36010000,289,53,0.00229393908447272,0.0125084602908041,0.00268285671003643,0.0146291620603873,40.0365853658537,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"Chaetognath"
"73",249,"SOTS","Night","Meso",12,"FGB","FGB","FGB","Diaphus hudsoni",37122061,3,8,0.000346254956146825,0.000129845608555059,0.000404959503401725,0.000151859813775647,65.3333333333333,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"FGB"
"74",253,"SOTS","Night","Meso",12,"FGB","FGB","FGB","Nemichthys curvirostris",37076001,1,4,0.000173127478073412,4.32818695183531e-05,0.000202479751700862,5.06199379252156e-05,850,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"FGB"
"75",255,"SOTS","Night","Meso",12,"FGB","FGB","FGB","Woodsia spp.",37106911,1,0.5,2.16409347591766e-05,4.32818695183531e-05,2.53099689626078e-05,5.06199379252156e-05,31,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"FGB"
"76",256,"SOTS","Night","Meso",12,"FnGB","FnGB","FnGB","Melanonus gracilis",37224015,1,3,0.000129845608555059,4.32818695183531e-05,0.000151859813775647,5.06199379252156e-05,90,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"FnGB"
"77",257,"SOTS","Night","Meso",12,"FnGB","FnGB","FnGB","Stomias gracilis",37112801,1,1,4.32818695183531e-05,4.32818695183531e-05,5.06199379252156e-05,5.06199379252156e-05,112,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"FnGB"
"78",258,"SOTS","Night","Meso",12,"FnGB","FnGB","FnGB","Stomiidae - undifferentiated",37112000,1,1,4.32818695183531e-05,4.32818695183531e-05,5.06199379252156e-05,5.06199379252156e-05,68,"14/12/2020 14:23","14/12/2020 15:03",-46.9205,-140.6363333,-46.93233333,-140.6441667,19755.06176,23104.36243,"FnGB"
